name,short_name,symbol,exchange,fractional
GW Pharmaceuticals plc ADR,GW Pharmaceuticals,GWPH,NASDAQ,True
JPMorgan Chase & Co.,JPMorgan Chase & Co.,JPM,NYSE,True
"Arena Pharmaceuticals, Inc.",Arena Pharmaceuticals,ARNA,NASDAQ,False
"Berkshire Hathaway, Inc. Class B",Berkshire Hathaway,BRK.B,NYSE,True
Rightmove PLC,Rightmove,RMV,London Stock Exchange,True
Vanguard FTSE Emerging Markets UCITS ETF,Vanguard FTSE Emerging Markets,,London Stock Exchange,True
Corbus Pharmaceuticals Holding,Corbus Pharmaceuticals,CRBP,NASDAQ,True
Airbus Group SE,Airbus,AIR,Euronext Paris,True
Allianz SE,Allianz,ALV,Deutsche Börse Xetra,True
Deutsche Telekom AG,Deutsche Telekom,DTE,Deutsche Börse Xetra,True
Deutsche Bank AG,Deutsche Bank,DBK,Deutsche Börse Xetra,True
iShares Physical Gold ETC,iShares Physical Gold,SGLN,London Stock Exchange,True
Royal Dutch Shell PLC - Class B,Royal Dutch Shell,RDSB,London Stock Exchange,True
Marks & Spencer Group PLC,Marks & Spencer,MKS,London Stock Exchange,True
WisdomTree Physical Gold,WisdomTree Physical Gold,PHGP,London Stock Exchange,True
Bank of America Corp.,Bank of America,BAC,NYSE,True
Salesforce.com,Salesforce,CRM,NYSE,True
"Delta Air Lines, Inc.",Delta Air Lines,DAL,NYSE,True
"Pliant Therapeutics, Inc.",Pliant Therapeutics,PLRX,NASDAQ,False
"Virgin Galactic Holdings, Inc.",Virgin Galactic,SPCE,NYSE,True
Micron Technology,Micron Technology,MU,NASDAQ,True
Vanguard FTSE All-World High Dividend Yield UCITS ETF,Vanguard FTSE All-World High Dividend Yield,,London Stock Exchange,True
"XpresSpa Group, Inc.",XpresSpa,XSPA,NASDAQ,False
Aphria Inc,Aphria Inc,APHA,NYSE,True
International Consolidated Airlines Group SA,IAG SA,IAG,London Stock Exchange,True
Cronos Group Inc,Cronos Group,CRON,NASDAQ,True
Starbucks Corp.,Starbucks,SBUX,NASDAQ,True
General Electric,General Electric,GE,NYSE,True
Gilead Sciences,Gilead Sciences,GILD,NASDAQ,True
J Sainsbury PLC,J Sainsbury,SBRY,London Stock Exchange,True
SPDR S&P UK Dividend Aristocrats ETF,SPDR S&P UK Dividend,UKDV,London Stock Exchange,True
SuperDry PLC,SuperDry,SDRY,London Stock Exchange,True
American Express Co,American Express,AXP,NYSE,True
Intel Corp.,Intel,INTC,NASDAQ,True
National Grid PLC,National Grid,NG,London Stock Exchange,True
TUI AG,TUI,TUI1,Deutsche Börse Xetra,True
Continental AG,Continental,CON,Deutsche Börse Xetra,True
Vanguard FTSE All-World UCITS ETF,Vanguard FTSE All-World,VWRL,London Stock Exchange,True
Metro Bank PLC,Metro Bank,MTRO,London Stock Exchange,True
Verizon Communications,Verizon,VZ,NYSE,True
Diageo PLC,Diageo,DGE,London Stock Exchange,True
"Pinterest, Inc.",Pinterest,PINS,NYSE,True
Merck & Co.,Merck & Co.,MRK,NYSE,True
Royal Caribbean Cruises,Royal Caribbean,RCL,NYSE,True
United Health Group Inc.,United Health Group,UNH,NYSE,True
Abbott Laboratories,Abbott Laboratories,ABT,NYSE,True
British American Tobacco PLC,British Tobacco,BATS,London Stock Exchange,True
Taylor Wimpey PLC,Taylor Wimpey,TW.,London Stock Exchange,True
"Etsy, Inc.",Etsy,ETSY,NASDAQ,True
Aegon NV,Aegon,AGN,Netherlands,True
General Motors,General Motors,GM,NYSE,True
iShares Core DAX UCITS ETF (DE),iShares Core DAX,EXS1,Deutsche Börse Xetra,True
Carnival PLC,Carnival,CCL,London Stock Exchange,True
Chevron Corporation,Chevron,CVX,NYSE,True
Macy's Inc.,Macy's,M,NYSE,True
"Moderna, Inc.",Moderna,MRNA,NASDAQ,True
"AbbVie, Inc.",AbbVie,ABBV,NYSE,True
SSE PLC,SSE PLC,SSE,London Stock Exchange,True
Eli Lilly and Company,Eli Lilly & Co,LLY,NYSE,True
Phillips 66,Phillips 66,PSX,NYSE,True
iShares Core FTSE 100 UCITS ETF GBP (Dist),iShares Core FTSE 100,ISF,London Stock Exchange,True
Royal Bank of Scotland Group PLC,Royal Bank of Scotland,RBS,London Stock Exchange,True
Tullow Oil PLC,Tullow Oil,TLW,London Stock Exchange,True
Vonovia SE,Vonovia,VNA,Deutsche Börse Xetra,True
WisdomTree WTI Crude Oil ETC,WisdomTree WTI Crude Oil,,Deutsche Börse Xetra,True
"Cloudflare, Inc.",Cloudflare,NET,NYSE,True
BAE Systems PLC,BAE Systems,BA.,London Stock Exchange,True
Koninklijke Ahold Delhaize NV,Ahold Delhaize,AD,Netherlands,True
Halliburton Co.,Halliburton,HAL,NYSE,True
ASOS Plc,ASOS,ASC,London Stock Exchange,True
"Amgen, Inc.",Amgen,AMGN,NASDAQ,True
BT Group PLC,BT Group,BT,London Stock Exchange,True
Carnival Corp.,Carnival,CCL,NYSE,True
"Nel, ASA",Nel,D7G,Deutsche Börse Xetra,True
"Activision Blizzard, Inc.",Activision Blizzard,ATVI,NASDAQ,True
Goldman Sachs Group,Goldman Sachs Group,GS,NYSE,True
Gym Group PLC/The,Gym Group,GYM,London Stock Exchange,True
Total SA,Total,FP,Euronext Paris,True
Valaris plc,Valaris,VAL,NYSE,True
Medtronic Inc.,Medtronic,MDT,NYSE,True
Vanguard FTSE Developed Europe UCITS ETF (EUR) Distributing,Vanguard FTSE Developed Europe GBP,,London Stock Exchange,True
British Land Co PLC/The,British Land Company,BLND,London Stock Exchange,True
Forum Merger II Corporation,Forum Merger II,FMCI,NASDAQ,False
PepsiCo Inc.,PepsiCo,PEP,NASDAQ,True
iShares S&P 500 UCITS ETF USD (Dist),iShares Core S&P 500,IUSA,London Stock Exchange,True
"United Airlines Holdings, Inc.",United Airlines,UAL,NASDAQ,True
Whitbread PLC,Whitbread,WTB,London Stock Exchange,True
