name,short_name,symbol,exchange,fractional
Deutsche Bank AG,Deutsche,,Deutsche Börse Xetra,True
Domino's Pizza Group PLC,Domino's,,London Stock Exchange,True
Spotify Technology S.A.,Spotify,SPOT,NYSE,True
TUI AG,TUI,TUI1,Deutsche Börse Xetra,True
Procter & Gamble,Procter,,NYSE,True
Deutsche Telekom AG,Deutsche,,Deutsche Börse Xetra,True
JPMorgan Chase & Co.,JPMorgan,,NYSE,True
"Virgin Galactic Holdings, Inc.",Virgin,SPCE,NYSE,True
"Pliant Therapeutics, Inc.",Pliant,,NASDAQ,False
Continental AG,Continental,CON,Deutsche Börse Xetra,True
Corbus Pharmaceuticals Holding,Corbus,,NASDAQ,True
J Sainsbury PLC,J,SBRY,London Stock Exchange,True
Vanguard FTSE Emerging Markets UCITS ETF,Vanguard,,London Stock Exchange,True
"XpresSpa Group, Inc.",XpresSpa,XSPA,NASDAQ,False
GW Pharmaceuticals plc ADR,GW,,NASDAQ,True
Micron Technology,Micron,,NASDAQ,True
Intel Corp.,Intel,INTC,NASDAQ,True
Metro Bank PLC,Metro,MTRO,London Stock Exchange,True
iShares Physical Gold ETC,iShares,,London Stock Exchange,True
Starbucks Corp.,Starbucks,SBUX,NASDAQ,True
"Moderna, Inc.",Moderna,MRNA,NASDAQ,True
SPDR S&P UK Dividend Aristocrats ETF,SPDR,,London Stock Exchange,True
Diageo PLC,Diageo,DGE,London Stock Exchange,True
Verizon Communications,Verizon,VZ,NYSE,True
British American Tobacco PLC,British,,London Stock Exchange,True
WisdomTree WTI Crude Oil ETC,WisdomTree,,Deutsche Börse Xetra,True
National Grid PLC,National,NG,London Stock Exchange,True
Vanguard FTSE All-World High Dividend Yield UCITS ETF,Vanguard,,London Stock Exchange,True
American Express Co,American,,NYSE,True
General Electric,General,,NYSE,True
Merck & Co.,Merck,MRK,NYSE,True
Vanguard FTSE All-World UCITS ETF,Vanguard,,London Stock Exchange,True
General Motors,General,,NYSE,True
Gilead Sciences,Gilead,,NASDAQ,True
iShares Core DAX UCITS ETF (DE),iShares,,Deutsche Börse Xetra,True
WisdomTree Physical Gold,WisdomTree,,London Stock Exchange,True
Cronos Group Inc,Cronos,CRON,NASDAQ,True
SSE PLC,SSE,SSE,London Stock Exchange,True
BT Group PLC,BT,BT,London Stock Exchange,True
Next PLC,Next,NXT,London Stock Exchange,True
Abbott Laboratories,Abbott,,NYSE,True
"AbbVie, Inc.",AbbVie,ABBV,NYSE,True
United Health Group Inc.,United,,NYSE,True
Macy's Inc.,Macy's,M,NYSE,True
Salesforce.com,Salesforce,CRM,NYSE,True
BAE Systems PLC,BAE,BA.,London Stock Exchange,True
Carnival Corp.,Carnival,CCL,NYSE,True
Aegon NV,Aegon,AGN,Netherlands,True
"Pinterest, Inc.",Pinterest,PINS,NYSE,True
Royal Caribbean Cruises,Royal,,NYSE,True
"Nel, ASA",Nel,D7G,Deutsche Börse Xetra,True
Eli Lilly and Company,Eli,LLY,NYSE,True
"United Airlines Holdings, Inc.",United,UAL,NASDAQ,True
Associated British Foods PLC,Associated,,London Stock Exchange,True
iShares Core FTSE 100 UCITS ETF GBP (Dist),iShares,,London Stock Exchange,True
Royal Bank of Scotland Group PLC,Royal,,London Stock Exchange,True
Taylor Wimpey PLC,Taylor,TW.,London Stock Exchange,True
Halliburton Co.,Halliburton,HAL,NYSE,True
Luckin Coffee Inc.,Luckin,LK,NASDAQ,True
Intu Properties PLC,Intu,,London Stock Exchange,True
Tullow Oil PLC,Tullow,TLW,London Stock Exchange,True
ASOS Plc,ASOS,ASC,London Stock Exchange,True
Barratt Developments PLC,Barratt,,London Stock Exchange,True
Medtronic Inc.,Medtronic,MDT,NYSE,True
Whitbread PLC,Whitbread,WTB,London Stock Exchange,True
"Etsy, Inc.",Etsy,ETSY,NASDAQ,True
ITM Power PLC,ITM,ITM,London Stock Exchange,True
Vonovia SE,Vonovia,VNA,Deutsche Börse Xetra,True
"Cloudflare, Inc.",Cloudflare,NET,NYSE,True
Gym Group PLC/The,Gym,GYM,London Stock Exchange,True
TUI Group,TUI,TUI,London Stock Exchange,True
Chevron Corporation,Chevron,CVX,NYSE,True
Banco Santander SA,Banco,,London Stock Exchange,True
Heineken NV,Heineken,HEIA,Netherlands,True
Koninklijke Ahold Delhaize NV,Ahold,,Netherlands,True
Legal & General Group PLC,Legal,,London Stock Exchange,True
Manchester United Ltd.,Manchester,,NYSE,False
"Palo Alto Networks, Inc.",Palo,,NYSE,False
William Hill PLC,William,WMH,London Stock Exchange,True
Air France - KLM SA,Air,,Euronext Paris,False
Glencore PLC,Glencore,GLEN,London Stock Exchange,True
Total SA,Total,FP,Euronext Paris,True
3M Company,3M,MMM,NYSE,True
"Activision Blizzard, Inc.",Activision,,NASDAQ,True
Aviva PLC,Aviva,AV,London Stock Exchange,True
Greatland Gold plc,Greatland,,London Stock Exchange,False
LVMH Louis Vuitton Moet Hennessy SE,LVMH,MC,Euronext Paris,True
"Norwegian Cruise Line Holdings, Ltd.",Norwegian,,NYSE,False
Virgin Money UK plc,Virgin,VMUK,London Stock Exchange,True
Persimmon PLC,Persimmon,PSN,London Stock Exchange,True
"SmileDirectClub, Inc.",SmileDirectClub,,NASDAQ,True
Valaris plc,Valaris,VAL,NYSE,True
Citigroup Inc.,Citigroup,C,NYSE,True
Costco Wholesale Corporation,Costco,COST,NASDAQ,True
Imperial Brands PLC,Imperial,,London Stock Exchange,True
Royal Dutch Shell PLC - Class A,Royal,,Deutsche Börse Xetra,True
Callon Petroleum Company,Callon,,NYSE,False
CVS Health Corporation,CVS,CVS,NYSE,True
Forum Merger II Corporation,Forum,,NASDAQ,False
Games Workshop Group PLC,Games,,London Stock Exchange,True
Goldman Sachs Group,Goldman,,NYSE,True
Inditex SA,Inditex,ITX,Bolsa de Madrid,True
Marston's PLC,Marston's,MARS,London Stock Exchange,True
Realty Income Corporation,Realty,O,NYSE,True
Airbus SE,Airbus,AIR,Deutsche Börse Xetra,True
"Amgen, Inc.",Amgen,AMGN,NASDAQ,True
Ballard Power Systems Inc,Ballard,,NASDAQ,True
iShares S&P 500 UCITS ETF USD (Dist),iShares,,London Stock Exchange,True
"Morgan Stanley, Inc.",Morgan,,NYSE,True
Repsol SA,Repsol,REP,Bolsa de Madrid,True
Vanguard FTSE Developed Europe UCITS ETF (EUR) Distributing,Vanguard,,London Stock Exchange,True
iShares S&P 500 Information Technology Sector UCITS ETF,iShares,,London Stock Exchange,True
Southwest Airlines Co.,Southwest,,NYSE,True
Invesco EQQQ NASDAQ-100 UCITS ETF,Invesco,,London Stock Exchange,True
Phillips 66,Phillips,PSX,NYSE,True
"Qualcomm, Inc.",Qualcomm,QCOM,NASDAQ,True
"DexCom, Inc.",DexCom,DXCM,NASDAQ,True
EOG Resources,EOG,,NYSE,False
Sanofi SA,Sanofi,SAN,Euronext Paris,True
Card Factory PLC,Card,CARD,London Stock Exchange,True
iShares Core MSCI World UCITS ETF USD Accumulating,iShares,,Deutsche Börse Xetra,False
Adyen NV,Adyen,ADYEN,Netherlands,True
MGM Resorts International,MGM,MGM,NYSE,False
"Novavax, Inc.",Novavax,NVAX,NASDAQ,True
PepsiCo Inc.,PepsiCo,PEP,NASDAQ,True
Volkswagen AG,Volkswagen,VOW,Deutsche Börse Xetra,True
Moneysupermarket.com Group PLC,MoneySuperMarket,,London Stock Exchange,True
British Land Co PLC/The,British,,London Stock Exchange,True
Nestle SA,Nestle,NESN,SIX Swiss,False
Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,Vanguard,,London Stock Exchange,False
"Biocept, Inc.",Biocept,BIOC,NASDAQ,False
Centrica PLC,Centrica,CNA,London Stock Exchange,True
Nintendo Co Ltd.,Nintendo,NTO,Deutsche Börse Xetra,False
